,DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,,ATTN_PCT,LOC_CODE,Borough,DistrictCode
422,28Q470,JAMAICA HIGH SCHOOL,90,342,368,353,1063,,,,
423,28Q505,HILLCREST HIGH SCHOOL,462,395,413,386,1194,74.92,Q505,Q,28
424,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,442,1372,89.24,Q620,Q,28
425,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502,1538,94.04,Q680,Q,28
,,,,,,,,,,,
427,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,596,1868,98.72,Q687,Q,28
428,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,384,1196,82.73,Q690,Q,28
429,28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,432,1316,91.66,Q896,Q,28
430,29Q248,QUEENS PREPARATORY ACADEMY,52,360,380,359,1099,67.91,Q248,Q,29
431,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,401,397,375,1173,86.62,Q259,Q,29
432,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402,1202,64.92,Q265,Q,29
433,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,424,1287,72.63,Q272,Q,29
434,29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,367,363,1100,69.42,Q283,Q,29
,,,,,,,,,,,
436,29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,394,1220,65.23,Q492,Q,29
437,29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377,1139,,,,
438,29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359,1152,,,,
439,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,381,377,1151,71.8,Q498,Q,29
,,,,,,,,,,,
441,30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405,1255,90.98,Q301,Q,30
442,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412,1275,74.37,Q445,Q,30
443,30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,395,1218,70.94,Q450,Q,30
444,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,496,494,1494,89.85,Q501,Q,30
445,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398,1239,81.22,Q502,Q,30
446,30Q555,NEWCOMERS HIGH SCHOOL,143,323,475,329,1127,88.24,Q555,Q,30
447,30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,491,1470,89.57,Q575,Q,30
448,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544,1636,95.47,Q580,Q,30
449,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450,1353,92.94,R047,R,31
450,31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385,1195,87.01,R064,R,31
451,31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466,1426,88.38,R080,R,31
452,31R440,NEW DORP HIGH SCHOOL,391,424,437,416,1277,73.52,R440,R,31
453,31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,417,1279,74.36,R445,R,31
454,31R450,CURTIS HIGH SCHOOL,375,437,435,429,1301,73.35,R450,R,31
455,31R455,TOTTENVILLE HIGH SCHOOL,807,462,486,470,1418,85.32,R455,R,31
456,31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459,1388,81.25,R460,R,31
457,31R470,CONCORD HIGH SCHOOL,10,466,455,414,1335,43.5,R470,R,31
458,31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397,1235,71.41,R600,R,31
459,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636,1953,96.28,R605,R,31
460,31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,405,375,370,1150,,,,
461,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352,1098,72.26,K403,K,32
462,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEÐBUSHWICK,88,384,409,361,1154,83.87,K545,K,32
463,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334,1035,65.94,K549,K,32
464,32K552,ACADEMY OF URBAN PLANNING,67,342,364,354,1060,84.92,K552,K,32
465,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422,1315,93.56,K554,K,32
466,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,350,1055,73.28,K556,K,32
467,32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358,1034,41.53,K564,K,32
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
471,75Q811,P.S. Q811,32,429,444,433,1306,85.54,Q811,Q,75
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
476,79Q950,GED PLUS s CITYWIDE,8,496,400,426,1322,,,,
477,79X490,PHOENIX ACADEMY,9,367,370,360,1097,,,,
