,DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,,ATTN_PCT,LOC_CODE,Borough,DistrictCode
372,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332,1028,49.54,K647,K,23
373,23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388,1196,62.3,K697,K,23
374,24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421,1280,81.6,Q264,Q,24
375,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400,1219,80.38,Q267,Q,24
376,24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,407,1240,85.33,Q293,Q,24
377,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,311,951,85.31,Q296,Q,24
378,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550,1663,94.38,Q299,Q,24
379,24Q455,NEWTOWN HIGH SCHOOL,320,383,440,380,1203,71.19,Q455,Q,24
,,,,,,,,,,,
381,24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396,1211,73.03,Q485,Q,24
382,24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385,1177,91.36,Q520,Q,24
383,24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329,1064,88.82,Q530,Q,24
384,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380,1174,-1,Q550,Q,24
385,24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440,1330,90.28,Q560,Q,24
386,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406,1270,87.06,Q600,Q,24
387,24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423,1364,95.96,Q610,Q,24
,,,,,,,,,,,
389,25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443,1396,91.13,Q252,Q,25
390,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318,1049,84.56,Q263,Q,25
391,25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392,1271,95.06,Q281,Q,25
392,25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481,1441,92.23,Q285,Q,25
393,25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395,1243,67.52,Q425,Q,25
394,25Q460,FLUSHING HIGH SCHOOL,347,393,441,382,1216,68.71,Q460,Q,25
395,25Q467,FLUSHING YABC,9,378,373,344,1095,,,,
396,25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638,1910,98.16,Q525,Q,25
397,25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388,1168,25.74,Q540,Q,25
398,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441,1330,80.29,Q670,Q,25
399,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377,1177,31.7,Q792,Q,25
400,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489,1514,85.64,Q415,Q,26
401,26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,467,1474,85.6,Q430,Q,26
402,26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,397,384,1172,78.51,Q435,Q,26
403,26Q495,BAYSIDE HIGH SCHOOL,708,462,523,464,1449,81.3,Q495,Q,26
404,26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420,1279,84.73,Q566,Q,26
405,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,373,1145,61.9,Q260,Q,27
406,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401,1252,89.53,Q262,Q,27
407,27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364,1156,69.59,Q302,Q,27
408,27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,416,1265,90.24,Q308,Q,27
