DBN,ATTN_DATE_YMD,ATTN_PCT,LOC_CODE,SCHOOL_NAME,Borough,DistrictCode
02M303,20171122,66.84,M303,"FACING HISTORY SCHOOL, THE",M,2
02M305,20171122,77.45,M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND,M,2
02M308,20171122,73.25,M308,LOWER MANHATTAN ARTS ACADEMY,M,2
02M312,20171122,95.3,M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLL,M,2
02M313,20171122,49.61,M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR",M,2
02M316,20171122,59.48,M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YO,M,2
02M340,20171122,78.57,M340,SIXTH AVENUE ELEMENTARY SCHOOL,M,2
02M343,20171122,82.76,M343,THE PECK SLIP SCHOOL,M,2
02M347,20171122,89.34,M347,THE 47 AMERICAN SIGN LANGUAGE ENGLISH,M,2
02M374,20171122,72.91,M374,GRAMERCY ARTS HIGH SCHOOL,M,2
02M376,20171122,89.67,M376,NYC ISCHOOL,M,2
02M391,20171122,73.37,M391,DISTRICT 2 PRE K CENTER,M,2
02M392,20171122,73.39,M392,MANHATTAN BUSINESS ACADEMY,M,2
02M393,20171122,61.93,M393,BUSINESS OF SPORTS SCHOOL,M,2
02M394,20171122,89.96,M394,EMMA LAZARUS HIGH SCHOOL,M,2
02M397,20171122,85.37,M397,SPRUCE STREET SCHOOL,M,2
02M399,20171122,74.39,M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMA,M,2
02M400,20171122,74.71,M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,M,2
02M407,20171122,85.77,M407,INSTITUTE FOR COLLABORATIVE EDUCATION,M,2
02M408,20171122,80.53,M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,M,2
02M411,20171122,93.69,M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,M,2
02M412,20171122,88.3,M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUD,M,2
02M413,20171122,90.69,M413,SCHOOL OF THE FUTURE HIGH SCHOOL,M,2
02M414,20171122,84.59,M414,N.Y.C. MUSEUM SCHOOL,M,2
02M416,20171122,94.07,M416,ELEANOR ROOSEVELT HIGH SCHOOL,M,2
02M418,20171122,95.71,M418,MILLENNIUM HIGH SCHOOL,M,2
02M419,20171122,81.45,M419,LANDMARK HIGH SCHOOL,M,2
02M420,20171122,83.95,M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND H,M,2
02M422,20171122,82.42,M422,QUEST TO LEARN,M,2
02M425,20171122,68.52,M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOO,M,2
02M427,20171122,84.5,M427,MANHATTAN ACADEMY FOR ARTS LANGUAGE,M,2
02M432,20171122,68.98,M432,MURRAY HILL ACADEMY,M,2
02M437,20171122,70.58,M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOG,M,2
02M438,20171122,83.24,M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUAR,M,2
02M439,20171122,98.68,M439,MANHATTAN VILLAGE ACADEMY,M,2
02M442,20171122,95.74,M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",M,2
02M449,20171122,72.58,M449,VANGUARD HIGH SCHOOL,M,2
02M459,20171122,82,M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,M,2
02M475,20171122,96.75,M475,STUYVESANT HIGH SCHOOL,M,2
02M489,20171122,83.65,M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,M,2
02M500,20171122,71.55,M500,UNITY CENTER FOR URBAN TECHNOLOGIES,M,2
02M507,20171122,86.26,M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNO,M,2
02M519,20171122,86.58,M519,TALENT UNLIMITED HIGH SCHOOL,M,2
02M520,20171122,-1,M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS,M,2
02M527,20171122,85.3,M527,P.S. 527 EAST SIDE SCHOOL FOR SOCIAL A,M,2
02M529,20171122,55.88,M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,M,2
02M531,20171122,79.33,M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATR,M,2
02M533,20171122,56.28,M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,M,2
02M534,20171122,74.64,M534,HARVEST COLLEGIATE HIGH SCHOOL,M,2
02M542,20171122,87.95,M542,MANHATTAN BRIDGES HIGH SCHOOL,M,2
02M543,20171122,70.56,M543,NEW DESIGN HIGH SCHOOL,M,2
02M544,20171122,38.01,M544,INDEPENDENCE HIGH SCHOOL,M,2
02M545,20171122,99.74,M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN,M,2
02M546,20171122,79.03,M546,ACADEMY FOR SOFTWARE ENGINEERING,M,2
02M550,20171122,83.33,M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMER,M,2
02M551,20171122,80.52,M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,M,2
02M560,20171122,-1,M560,HIGH SCHOOL M560 CITY AS SCHOOL,M,2
02M565,20171122,-1,M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,M,2
02M570,20171122,46.93,M570,SATELLITE ACADEMY HIGH SCHOOL,M,2
02M575,20171122,46.27,M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HI,M,2
02M580,20171122,78.98,M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,M,2
02M586,20171122,54.54,M586,HARVEY MILK HIGH SCHOOL,M,2
02M600,20171122,78.65,M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,M,2
02M605,20171122,80.42,M605,HUMANITIES PREPARATORY ACADEMY,M,2
02M615,20171122,74.71,M615,CHELSEA CAREER AND TECHNICAL EDUCATION H,M,2
02M630,20171122,83.02,M630,ART AND DESIGN HIGH SCHOOL,M,2
02M655,20171122,61.01,M655,LIFE SCIENCES SECONDARY SCHOOL,M,2
02M896,20171122,93.76,M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,M,2
02M933,20171122,87.17,M933,CITY KNOLL MIDDLE SCHOOL,M,2
03M009,20171122,87.05,M009,P.S. 009 SARAH ANDERSON,M,3
03M054,20171122,92.24,M054,J.H.S. 054 BOOKER T. WASHINGTON,M,3
03M075,20171122,88.45,M075,P.S. 075 EMILY DICKINSON,M,3
03M076,20171122,-1,M076,P.S. 076 A. PHILIP RANDOLPH,M,3
03M084,20171122,86.25,M084,P.S. 084 LILLIAN WEBER,M,3
03M087,20171122,85.74,M087,P.S. 087 WILLIAM SHERMAN,M,3
03M145,20171122,86.43,M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",M,3
03M149,20171122,83.96,M149,P.S. 149 SOJOURNER TRUTH,M,3
03M163,20171122,89.06,M163,P.S. 163 ALFRED E. SMITH,M,3
03M165,20171122,87.41,M165,P.S. 165 ROBERT E. SIMON,M,3
03M166,20171122,86.86,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,M,3
03M180,20171122,83.27,M180,P.S. 180 HUGO NEWMAN,M,3
03M185,20171122,80.8,M185,P.S. 185 THE EARLY CHILDHOOD DISCOVERY,M,3
03M191,20171122,91.38,M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTI,M,3
03M199,20171122,87.05,M199,P.S. 199 JESSIE ISADOR STRAUS,M,3
03M208,20171122,88.28,M208,THE ALAIN L. LOCKE MAGNET SCHOOL FOR ENV,M,3
03M241,20171122,81.48,M241,STEM INSTITUTE OF MANHATTAN,M,3
03M242,20171122,79.19,M242,P.S. 242 THE YOUNG DIPLOMATS MAGNET AC,M,3
03M243,20171122,-1,M243,M.S. 243 CENTER SCHOOL,M,3
03M245,20171122,88.72,M245,M.S. M245 THE COMPUTER SCHOOL,M,3
03M247,20171122,93,M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,M,3
03M250,20171122,85.39,M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE,M,3
03M256,20171122,88.97,M256,LAFAYETTE ACADEMY,M,3
03M258,20171122,-1,M258,COMMUNITY ACTION SCHOOL MS 258,M,3
03M291,20171122,89.97,M291,WEST END SECONDARY SCHOOL,M,3
03M299,20171122,72.77,M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQ,M,3
03M307,20171122,54.2,M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,",M,3
03M333,20171122,83.82,M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,M,3
03M334,20171122,90.13,M334,THE ANDERSON SCHOOL,M,3
03M402,20171122,72.02,M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CARE,M,3
03M403,20171122,-1,M403,THE GLOBAL LEARNING COLLABORATIVE,M,3
03M404,20171122,36.5,M404,INNOVATION DIPLOMA PLUS,M,3
03M415,20171122,79.34,M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFOR,M,3
03M417,20171122,84.38,M417,FRANK MCCOURT HIGH SCHOOL,M,3
03M421,20171122,84.5,M421,WEST PREP ACADEMY,M,3
03M452,20171122,81.19,M452,P.S. 452,M,3
03M479,20171122,92.75,M479,BEACON HIGH SCHOOL,M,3
03M485,20171122,89.81,M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUS,M,3
03M492,20171122,70.62,M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUN",M,3
03M494,20171122,62.98,M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,M,3
03M505,20171122,27.83,M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,M,3
03M541,20171122,96.59,M541,MANHATTAN HUNTER SCIENCE HIGH SCHOOL,M,3
03M859,20171122,79.09,M859,SPECIAL MUSIC SCHOOL,M,3
03M860,20171122,68,M860,FREDERICK DOUGLASS ACADEMY II SECONDARY,M,3
